,name,main,reward,area,full_reward,season,time,sub_a,sub_b,sub_a_reward,sub_b_reward,rank
0,Familiarize with the environments of the jungle!,Deliver Special Mushroom: X5,300z,Jungle,850z,warm,50,Deliver Royal Beetle (ロイヤルカブト): X2,Deliver Raw Meat (生肉): X4,450z,100z,1
1,Familiarize with the environments of the jungle!,Deliver Special Mushroom: X5,300z,Jungle,850z,cold,50,Deliver Royal Beetle (ロイヤルカブト): X2,Deliver Raw Meat (生肉): X4,450z,100z,1
2,Familiarize with the environments of the jungle!,Deliver Special Mushroom: X5,300z,Jungle,850z,breeding,50,Deliver Royal Beetle (ロイヤルカブト): X2,Deliver Raw Meat (生肉): X4,450z,100z,1
3,Habitat of the Blue hunter,Hunt the Velocidrome,600z,Jungle,1200z,warm,50,Hunt 8 Velociprey,Deliver Special Mushroom (特産キノコ): X5,300z,300z,1
4,Habitat of the Blue hunter,Hunt the Velocidrome,600z,Jungle,1400z,breeding,50,Deliver Carnivore Egg (肉食竜の卵): X1,Hunt 8 Velociprey,500z,300z,1
5,Hunt the boar boss!,Hunt the Bulldrome,700z,Jungle,1250z,cold,50,Hunt 8 Velociprey,Deliver Gold Fish (黄金魚): X1,300z,250z,1
6,Chasing the mysterious bird,Hunt the Yian Kut-Ku,1200z,Jungle,2100z,warm,50,Deliver Wyvern Tear (竜のナミダ): X1,Hunt 8 Vespoid,700z,200z,1
7,Chasing the mysterious bird,Hunt the Yian Kut-Ku,1200z,Jungle,1950z,breeding,50,Deliver Mature Mushroom (熟成キノコ): X1,Deliver Kelbi Horn (ケルビの角): X5,400z,350z,1
8,Sight of a blue mysterious bird,Hunt the Blue Yian Kut-Ku,1200z,Jungle,1200z,cold,50,No Sub,No Sub,0z,0z,1
9,The runnaway purple poison bird,Hunt the Purple Gypceros,1400z,Jungle,1400z,warm,50,No Sub,No Sub,0z,0z,1
10,Daimyo on the shore,Hunt the Daimyo Hermitaur,1800z,Jungle,2900z,warm,50,Deliver Zazamiso (ザザミソ): X4,Break the Daimyo's Shell,500z,600z,2
11,Territory of the pink beast,Hunt the Congalala,2000z,Jungle,3000z,cold,50,Hunt 2 Conga,Deliver Rare Mushroom (厳選キノコ): X2,400z,600z,2
12,Territory of the pink beast,Hunt the Congalala,2000z,Jungle,2800z,breeding,50,Deliver Territorial Dung (なわばりのフン): X1,No Sub,800z,0z,2
13,The land where the Queen dwells,Hunt the Rathian,2200z,Jungle,4400z,warm,50,Deliver Royal Beetle (ロイヤルカブト): X7,Cut off the Rathian's tail,600z,1600z,2
14,The land where the Queen dwells,Hunt the Rathian,2200z,Jungle,3700z,breeding,50,Deliver Wyvern Egg (飛竜の卵): X1,Deliver Carnivore Egg (肉食竜の卵): X1,1000z,500z,2
15,Cherry Blossom Wyvern of the jungle,Hunt the Pink Rathian,2200z,Jungle,2200z,cold,50,No Sub,No Sub,0z,0z,2
16,Jade sinking in the water,Hunt the Green Plesioth,2600z,Jungle,2600z,warm,50,No Sub,No Sub,0z,0z,3
17,Incessant Rain in the Jungle,Slay the Kushala Daora,3600z,Jungle,3600z,warm,50,No Sub,No Sub,0z,0z,4
18,The leaping hunter of the Desert,Hunt the Gendrome,800z,Desert,1600z,cold,50,Hunt 6 Genprey,Deliver Cactus (百花サボテン): X1,400z,400z,2
19,The leaping hunter of the Desert,Hunt the Gendrome,800z,Desert,2600z,breeding,50,Deliver Herbivore Egg Egg (草食竜の卵): X1,Hunt 4 Apceros,1500z,300z,2
20,The wyvern that swims in the sand,Hunt the Cephadrome,1600z,Desert,3200z,cold,50,Deliver Piscine Liver (魚竜のキモ): X3,Hunt 4 Cephalos,1000z,600z,2
21,The one who succeeds the dead,Hunt the Daimyo Hermitaur,1800z,Desert,2700z,breeding,50,Deliver Zazamiso (ザザミソ): X4,Hunt 6 Genprey,500z,400z,2
22,Cherry Blossom Blooming in the Desert,Hunt the Pink Rathian,2200z,Desert,2200z,breeding,50,No Sub,No Sub,0z,0z,2
23,Water wyvern of the underground lake,Hunt the Plesioth,2600z,Desert,3700z,breeding,50,Fish the Plesioth out of the water,Deliver Gold Fish (黄金魚): X2,600z,500z,3
24,Jade sinking in the water,Hunt the Green Plesioth,2600z,Desert,2600z,cold,50,No Sub,No Sub,0z,0z,3
25,Lone Wyvern,Hunt the Monoblos,3400z,Desert,5900z,breeding,50,Deliver Wyvern Tear (竜のナミダ): X1,Deliver Herbivore Egg Egg (草食竜の卵): X1,1000z,1500z,3
26,Fury of the white wyvern,Hunt the White Monoblos,3400z,Desert,3400z,cold,50,No Sub,No Sub,0z,0z,3
27,Extremly violent ceratopsian wyvern,Hunt the Diablos,3000z,Desert,4400z,cold,50,Break off both Diablos' horns,Deliver Secret Pouch (秘密のポーチ): X3,1000z,400z,3
28,Jet Black Ceratopsian Wyvern,Hunt the Black Diablos,3000z,Desert,3000z,breeding,50,No Sub,No Sub,0z,0z,3
29,Boar Rush,Hunt the Bulldrome,700z,Swamp,1300z,cold,50,Hunt 6 Bullfango,Hunt 3 Bullfango,300z,300z,1
30,Leader of the red poison,Hunt the Iodrome,900z,Swamp,1800z,warm,50,Hunt 15 Hornetaur,Deliver Special Mushroom (特産キノコ): X10,300z,600z,1
31,Leader of the red poison,Hunt the Iodrome,900z,Swamp,1900z,breeding,50,Deliver Mature Mushroom (熟成キノコ): X1,Deliver Special Mushroom (特産キノコ): X10,400z,600z,1
32,Sight of a blue mysterious bird,Hunt the Blue Yian Kut-Ku,1200z,Swamp,1200z,warm,50,No Sub,No Sub,0z,0z,1
33,The runaway poisonous bird of the swamp,Hunt the Gypceros,1400z,Swamp,2500z,warm,50,Deliver Rough Gray Crystal (灰水晶の原石): X1,Hunt 15 Hornetaur,800z,300z,1
34,The runaway poisonous bird of the swamp,Hunt the Gypceros,1400z,Swamp,2800z,breeding,50,Deliver Rough Gray Crystal (灰水晶の原石): X1,Break the Gypceros' Crest,800z,600z,1
35,The runnaway purple poison bird,Hunt the Purple Gypceros,1400z,Swamp,1400z,cold,50,No Sub,No Sub,0z,0z,1
36,A gluttonous freak,Hunt the Congalala,2000z,Swamp,2800z,warm,50,Hunt 4 Conga,Hunt 2 Conga,400z,400z,2
37,A gluttonous freak,Hunt the Congalala,2000z,Swamp,2800z,breeding,50,Deliver Khezu Icecream (フルベビアイス): X2,Hunt 3 Bullfango,500z,300z,2
38,White shadow crawling in the dark,Hunt the Khezu,2200z,Swamp,2200z,cold,50,No Sub,No Sub,00z,0z,2
39,Queen of the Swamp,Hunt the Rathian,2200z,Swamp,3650z,cold,50,Deliver Wyvern Tear (竜のナミダ): X1,Deliver Rare Mushroom (厳選キノコ): X2,850z,600z,2
40,Sickle lurking in the swamp,Hunt the Shogun Ceanataur,2800z,Swamp,4900z,warm,50,Break a Shogun's Claw,Deliver Gold Fish (黄金魚): X5,1000z,1100z,3
41,Sickle lurking in the swamp,Hunt the Shogun Ceanataur,2800z,Swamp,4000z,breeding,50,Deliver Rough Gray Crystal (灰水晶の原石): X1,Deliver Secret Pouch (秘密のポーチ): X3,800z,400z,3
42,Almighty Black Armor,Hunt the Black Gravios,3200z,Swamp,3200z,breeding,50,No Sub,No Sub,0z,0z,3
43,Silent,Slay the Chameleos,3600z,Swamp,3600z,warm,50,No Sub,No Sub,0z,0z,4
44,Silent,Slay the Chameleos,3600z,Swamp,3600z,warm,50,No Sub,No Sub,0z,0z,4
45,Dragon King of the Flames Teostra,Slay the Teostra,3800z,Swamp,3800z,warm,50,No Sub,No Sub,0z,0z,4
46,Hunting in the coldest places,Hunt the Bulldrome,700z,Snowy Mountains,1100z,warm,50,Hunt 4 Popo,No Sub,400z,0z,1
47,White shadow crawling in the dark,Hunt the Khezu,2200z,Snowy Mountains,3500z,breeding,50,Deliver Khezu Icecream (フルベビアイス): X2,Deliver Anteka Horn (ガウシカの角): X5,500z,800z,2
48,Red shadow crawling in the snowy field,Hunt the Red Khezu,2200z,Snowy Mountains,2200z,warm,50,No Sub,No Sub,0z,0z,2
49,Leader of the fanged pack,Hunt the Blangonga,2400z,Snowy Mountains,3600z,warm,50,Hunt 6 Blango,Hunt 3 Blango,600z,600z,3
50,WLeader of the fanged pack,Hunt the Blangonga,2400z,Snowy Mountains,3800z,breeding,50,Deliver Carnivore Egg (肉食竜の卵): X2,Hunt 5 Giaprey,1000z,400z,3
51,Ghost running on the snowy fields,Slay the Kirin,3400z,Snowy Mountains,3400z,warm,50,No Sub,No Sub,0z,0z,4
52,The Summoner of the Snow Storm,Slay the Kushala Daora,3600z,Snowy Mountains,3600z,warm,50,No Sub,No Sub,0z,0z,4
53,Poison and more Poison,Hunt the Iodrome,900z,Volcano,1600z,warm,50,Hunt 10 Ioprey,No Sub,700z,0z,1
54,Trap lurking in the rocks,Hunt the Basarios,1600z,Volcano,2850z,warm,50,Deliver Coal (燃石炭): X8,Hunt 10 Vespoid,1050z,200z,1
55,Trap lurking in the rocks,Hunt the Basarios,1600z,Volcano,3350z,breeding,50,Deliver Coal (燃石炭): X8,Break the Basarios' Chest,1050z,700z,1
56,Sickle running through Heaven and Earth,Hunt the Shogun Ceanataur,3200z,Volcano,4500z,cold,50,Hunt 3 Remobra,Deliver Secret Pouch (秘密のポーチ): X3,900z,400z,3
57,Sickle running through Heaven and Earth,Hunt the Shogun Ceanataur,2800z,Volcano,4600z,breeding,50,Break a Shogun's Claw,Hunt 4 Ceanataur,1000z,800z,3
58,Champion of ignition,Hunt the Gravios,3200z,Volcano,7200z,cold,50,Deliver Firecell Stone (火薬岩): X2,Deliver Firecell Stone (火薬岩): X1,2000z,2000z,3
59,Subspecies wearing black armor,Hunt the Black Gravios,3200z,Volcano,3200z,warm,50,No Sub,No Sub,0z,0z,3
60,King of Flames,Slay the Teostra,3800z,Volcano,3800z,warm,50,No Sub,No Sub,0z,0z,4
61,Princess of Flames,Slay the Lunastra,3800z,Volcano,3800z,warm,50,No Sub,No Sub,0z,0z,4
62,The land where the king of the skies dwells,Hunt the Rathalos,3400z,Forest and Hills,5900z,warm,50,Cut off the Rathalos' tail,Hunt 2 Shakalaka,1000z,1500z,2
63,Roar of the Azure Wyvern,Hunt the Azure Rathalos,3400z,Forest and Hills,3400z,cold,50,No Sub,No Sub,0z,0z,2
64,King of the Skies and Queen of the Land,Hunt the Rathalos,3400z,Forest and Hills,6600z,breeding,50,Hunt the Rathian,Deliver Wyvern Egg (飛竜の卵): X1,2200z,1000z,2
65,The Silent Dragon,Slay the Chameleos,3600z,Forest and Hills,3600z,warm,50,No Sub,No Sub,0z,0z,4
66,Wyvern's Lair,Hunt the Azure Rathalos,3400z,Tower,6800z,breeding,50,Hunt the Rathalos,No Sub,3400z,0z,3
67,Lightning striking the Old Tower,Slay the Kirin,3400z,Tower,3400z,warm,50,No Sub,No Sub,0z,0z,4
68,The Tower of the Flame Princess Dragon,Slay the Lunastra,3800z,Tower,3800z,warm,50,No Sub,No Sub,0z,0z,4
